esco_oc_key|preflabel_en|ox_max_prob|ox_avg_prob|ox_label|isco_oc_key_l4|isco_preflabel_l4|isco_oc_key_l3|isco_preflabel_l3|isco_oc_key_l2|isco_preflabel_l2|isco_oc_key_l1|isco_preflabel_l1|oc_key_jv|all_jv|at_jv|be_jv|bg_jv|ch_jv|cy_jv|cz_jv|de_jv|dk_jv|ee_jv|el_jv|es_jv|fi_jv|fr_jv|hr_jv|hu_jv|ie_jv|is_jv|it_jv|li_jv|lt_jv|lu_jv|lv_jv|mt_jv|nl_jv|no_jv|pl_jv|pt_jv|ro_jv|se_jv|si_jv|sk_jv|uk_jv|oc_key_cvdes|all_cvdes|at_cvdes|be_cvdes|bg_cvdes|ch_cvdes|cy_cvdes|cz_cvdes|de_cvdes|dk_cvdes|ee_cvdes|el_cvdes|es_cvdes|fi_cvdes|fr_cvdes|hr_cvdes|hu_cvdes|ie_cvdes|is_cvdes|it_cvdes|li_cvdes|lt_cvdes|lu_cvdes|lv_cvdes|mt_cvdes|nl_cvdes|no_cvdes|pl_cvdes|pt_cvdes|ro_cvdes|se_cvdes|si_cvdes|sk_cvdes|uk_cvdes|oc_key_cvlast|all_cvlast|at_cvlast|be_cvlast|bg_cvlast|ch_cvlast|cy_cvlast|cz_cvlast|de_cvlast|dk_cvlast|ee_cvlast|el_cvlast|es_cvlast|fi_cvlast|fr_cvlast|hr_cvlast|hu_cvlast|ie_cvlast|is_cvlast|it_cvlast|li_cvlast|lt_cvlast|lu_cvlast|lv_cvlast|mt_cvlast|nl_cvlast|no_cvlast|pl_cvlast|pt_cvlast|ro_cvlast|se_cvlast|si_cvlast|sk_cvlast|uk_cvlast
7c132147-428b-4ea3-87e1-70f7abb691ce|pharmacist|0.012|0.01||C2262|Pharmacists|C226|Other health professionals|C22|Health professionals|C2|Professionals|7c132147-428b-4ea3-87e1-70f7abb691ce|20421|355|771|39|188|11|279|6515|793|33|57|7|131|4241||28|42||2||11|14|29|5|57|1403|377|290|402|2080|139||2122|7c132147-428b-4ea3-87e1-70f7abb691ce|596|6|13|8|1||5|17||1|23|113|5|20|17|8|1||226||1|1||1|4|1|8|75|11|7|11|1|11|7c132147-428b-4ea3-87e1-70f7abb691ce|535|4|8|5|1||4|15|1|3|28|87|4|20|20|6|2||194||1||1||4|1|7|74|14|7|10|1|13
7c205166-d862-45fc-90e5-58a3aa3721dd|road construction supervisor|0.17|0.17||C3123|Construction supervisors|C312|Mining, manufacturing and construction supervisors|C31|Science and engineering associate professionals|C3|Technicians and associate professionals||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
7c2fbf7d-b934-4f62-8167-0ed90fb2a16f|rolling stock engineer|0.49|0.13||C2144|Mechanical engineers|C214|Engineering professionals (excluding electrotechnology)|C21|Science and engineering professionals|C2|Professionals||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
7c320679-131d-4828-87ed-94886614b7ed|pump operator|0.17|0.09||C5411|Fire-fighters|C541|Protective services workers|C54|Protective services workers|C5|Service and sales workers||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
7c5e4ca1-e8be-4297-9014-509d5ba57210|zoo educator|0.91|0.35||C5113|Travel guides|C511|Travel attendants, conductors and guides|C51|Personal service workers|C5|Service and sales workers||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
7c64479f-7a76-49e9-ac42-bd925f2bf99d|mine control room operator|0.9|0.85||C8131|Chemical products plant and machine operators|C813|Chemical and photographic products plant and machine operators|C81|Stationary plant and machine operators|C8|Plant and machine operators and assemblers|7c64479f-7a76-49e9-ac42-bd925f2bf99d|42324|167|8584|52|156||562|15935|12|44|||148|4795||97|||975||1|8|19|15|7378|115|868|34|375|690|63|155|1076|7c64479f-7a76-49e9-ac42-bd925f2bf99d|212||3|7||1||9|1||2|35|3|5|8|5|3|1|55||4||1|1|2||9|9|32||10|1|5|7c64479f-7a76-49e9-ac42-bd925f2bf99d|126|2||2|1|||3|3||1|20|3|5|5|3|4|1|40||4||||3||8|2|4|1|7||4
7c6fc2f0-6e16-4429-8190-f6faac0c3853|glove maker|0.99|0.82||C7533|Sewing, embroidery and related workers|C753|Garment and related trades workers|C75|Food processing, wood working, garment and other craft and related trades workers|C7|Craft and related trades workers|7c6fc2f0-6e16-4429-8190-f6faac0c3853|19569|186|2421|1721|18|1|2765|2806|3|8|||3|1595|7|25|106|6|4||390|5|52|5|148|4|6012|1136|76|37|28|1||7c6fc2f0-6e16-4429-8190-f6faac0c3853|37|||2||||2||1||7|1||3|4|||7||||||||6|1|1|1|||1|7c6fc2f0-6e16-4429-8190-f6faac0c3853|14|||1|||1|1||||1|1||1|2|||2||||1||||2||||1||
7cb71c5f-c310-481c-b46b-d0044328758c|vehicle cleaner|0.37|0.37||C9122|Vehicle cleaners|C912|Vehicle, window, laundry and other hand cleaning workers|C91|Cleaners and helpers|C9|Elementary occupations|7cb71c5f-c310-481c-b46b-d0044328758c|15741|955|77|106|9|3|330|7342|||||340||1|250|||||||105|34|1231|124|1882|240|1708|891|113|||7cb71c5f-c310-481c-b46b-d0044328758c|67|3|||||1|||1|7|4|1|1|2|2|1||18||1|||||1|7|4|9|1|1||2|7cb71c5f-c310-481c-b46b-d0044328758c|7||||||||||1|1||1|1||||2||||||||1||||||
7cd070f5-b5dd-4228-bdcf-0419dbacfcf4|distillery miller|0.93|0.82||C8160|Food and related products machine operators|C816|Food and related products machine operators|C81|Stationary plant and machine operators|C8|Plant and machine operators and assemblers|7cd070f5-b5dd-4228-bdcf-0419dbacfcf4|71416|996|135|107|50|2|1153|6116|2|1|||1574|16028||313|21|||||10|105|15|5619|328|2795|259|911|679|33||34164|7cd070f5-b5dd-4228-bdcf-0419dbacfcf4|741|2|4|23|2||16|27|1|2|23|108|7|9|37|17|2|2|234||8||2|1|7|6|35|27|95|3|16|8|17|7cd070f5-b5dd-4228-bdcf-0419dbacfcf4|344|2|1|9|||3|10||1|9|50|4|9|14|9|3|2|127||3||2||6|2|21|17|22|3|2|2|11
7cdeb653-8f3d-4921-832b-b95f9d700a86|electrical transmission system operator|0.95|0.61||C3131|Power production plant operators|C313|Process control technicians|C31|Science and engineering associate professionals|C3|Technicians and associate professionals||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
7ceb2340-339c-4367-bc4e-e08f57c992f6|animal shelter worker|0.86|0.46||C5164|Pet groomers and animal care workers|C516|Other personal services workers|C51|Personal service workers|C5|Service and sales workers|7ceb2340-339c-4367-bc4e-e08f57c992f6|5660|395|261|6|89||291|3161|1|||1|211|302||21||||||3|5||68|26|237|106|29|425|20||2|7ceb2340-339c-4367-bc4e-e08f57c992f6|368|1|6|6|2||11|13||1|6|94|7|2|12|9|3|3|93||3||1|2|11|6|24|14|17|8|6||7|7ceb2340-339c-4367-bc4e-e08f57c992f6|44||4||||1|3||||13|1||2|1|1||9||||||2||1|1|1|1|1||2
7d092380-1c2e-48fe-81de-0d191b4e96d6|diagnostic radiographer|0.35|0.27||C3211|Medical imaging and therapeutic equipment technicians|C321|Medical and pharmaceutical technicians|C32|Health associate professionals|C3|Technicians and associate professionals||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
