esco_oc_key|preflabel_en|ox_max_prob|ox_avg_prob|ox_label|isco_oc_key_l4|isco_preflabel_l4|isco_oc_key_l3|isco_preflabel_l3|isco_oc_key_l2|isco_preflabel_l2|isco_oc_key_l1|isco_preflabel_l1|oc_key_jv|all_jv|at_jv|be_jv|bg_jv|ch_jv|cy_jv|cz_jv|de_jv|dk_jv|ee_jv|el_jv|es_jv|fi_jv|fr_jv|hr_jv|hu_jv|ie_jv|is_jv|it_jv|li_jv|lt_jv|lu_jv|lv_jv|mt_jv|nl_jv|no_jv|pl_jv|pt_jv|ro_jv|se_jv|si_jv|sk_jv|uk_jv|oc_key_cvdes|all_cvdes|at_cvdes|be_cvdes|bg_cvdes|ch_cvdes|cy_cvdes|cz_cvdes|de_cvdes|dk_cvdes|ee_cvdes|el_cvdes|es_cvdes|fi_cvdes|fr_cvdes|hr_cvdes|hu_cvdes|ie_cvdes|is_cvdes|it_cvdes|li_cvdes|lt_cvdes|lu_cvdes|lv_cvdes|mt_cvdes|nl_cvdes|no_cvdes|pl_cvdes|pt_cvdes|ro_cvdes|se_cvdes|si_cvdes|sk_cvdes|uk_cvdes|oc_key_cvlast|all_cvlast|at_cvlast|be_cvlast|bg_cvlast|ch_cvlast|cy_cvlast|cz_cvlast|de_cvlast|dk_cvlast|ee_cvlast|el_cvlast|es_cvlast|fi_cvlast|fr_cvlast|hr_cvlast|hu_cvlast|ie_cvlast|is_cvlast|it_cvlast|li_cvlast|lt_cvlast|lu_cvlast|lv_cvlast|mt_cvlast|nl_cvlast|no_cvlast|pl_cvlast|pt_cvlast|ro_cvlast|se_cvlast|si_cvlast|sk_cvlast|uk_cvlast
00030d09-2b3a-4efd-87cc-c4ea39d27c34|technical director|0.31|0.12||C2654|Film, stage and related directors and producers|C265|Creative and performing artists|C26|Legal, social and cultural professionals|C2|Professionals||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
000e93a3-d956-4e45-aacb-f12c83fedf84|metal drawing machine operator|0.91|0.88||C8121|Metal processing plant operators|C812|Metal processing and finishing plant operators|C81|Stationary plant and machine operators|C8|Plant and machine operators and assemblers|000e93a3-d956-4e45-aacb-f12c83fedf84|12431|2354|118|7|82|3|1460|1594|||||172|2798||220|37|||||4|7||325|118|2138|30|249|371|189|148|7|000e93a3-d956-4e45-aacb-f12c83fedf84|134|1|3|3||1|2|4||2|3|15|4|1|12|3||1|28||||3||2|1|14||17|3|6||5|000e93a3-d956-4e45-aacb-f12c83fedf84|85|2|1|1|||1|3|1|2||13|5||3||||15||2||2||1||10|3|15||3||2
0019b951-c699-4191-8208-9822882d150c|precision device inspector|0.98|0.98||C7543|Product graders and testers (excluding foods and beverages)|C754|Other craft and related workers|C75|Food processing, wood working, garment and other craft and related trades workers|C7|Craft and related trades workers||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0022f466-426c-41a4-ac96-a235c945cf97|air traffic safety technician|0.84|0.78||C3155|Air traffic safety electronics technicians|C315|Ship and aircraft controllers and technicians|C31|Science and engineering associate professionals|C3|Technicians and associate professionals|0022f466-426c-41a4-ac96-a235c945cf97|240||7|7|||5|9|2|1|||||||||1||1||2|3||3|2|5|56|136||||0022f466-426c-41a4-ac96-a235c945cf97|156||3|1||1||2||||59|3|5|6|2|||48||1|||1|1||4|9|4||||6|0022f466-426c-41a4-ac96-a235c945cf97|52|||1||||3||||24||2|1||||10||||||4|||6|1||||
002da35b-7808-43f3-83bf-63596b8b351f|hospitality revenue manager|0.61|0.32|1|C2431|Advertising and marketing professionals|C243|Sales, marketing and public relations professionals|C24|Business and administration professionals|C2|Professionals|002da35b-7808-43f3-83bf-63596b8b351f|203055|6160|491|19|240||946|20896|159|1|1|42|8696|13||242|63||10|2|1|8|134|88|5058|982|4884|428|530|5405|259|2|147295|002da35b-7808-43f3-83bf-63596b8b351f|5242|66|206|84|43|21|65|313|54|19|120|766|112|524|184|141|47|4|1425|1|41|23|25|7|132|38|114|166|148|91|65|18|179|002da35b-7808-43f3-83bf-63596b8b351f|2562|30|104|48|23|4|24|166|30|8|76|386|40|326|67|62|13|3|615||22|11|9|3|67|13|53|82|99|53|29|10|86
0044c991-c26f-4261-a213-4bd1c0564a4c|medical laboratory assistant|0.9|0.69||C3212|Medical and pathology laboratory technicians|C321|Medical and pharmaceutical technicians|C32|Health associate professionals|C3|Technicians and associate professionals|0044c991-c26f-4261-a213-4bd1c0564a4c|12610|237|255|3|109||214|4269|2||||824|3477||15|1|||||17|19|4|27|1061|45|44|6|1890|91|||0044c991-c26f-4261-a213-4bd1c0564a4c|807|4|20|7|5|3|5|22|1|2|37|263|6|15|25|4|6||224||4||1|1|11|2|21|67|5|10|11|2|23|0044c991-c26f-4261-a213-4bd1c0564a4c|289|2|7|7|4|4||7|1|3|18|78|3|6|20||1||75||3|||1|4||10|16|5|1|5|1|7
00634fc4-802a-461b-8af0-499273756f99|asphalt laboratory technician|0.24|0.24||C3116|Chemical engineering technicians|C311|Physical and engineering science technicians|C31|Science and engineering associate professionals|C3|Technicians and associate professionals||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
00674f21-2f8f-4a41-9896-133f7cbe2a6e|primary school teaching assistant|0.56|0.56||C5312|Teachers’ aides|C531|Child care workers and teachers’ aides|C53|Personal care workers|C5|Service and sales workers|00674f21-2f8f-4a41-9896-133f7cbe2a6e|19794|18|72|224|||904|575|3||||1584|3457||56|1|||||1|226|91|66|1325|1502|24|130|9255|280|||00674f21-2f8f-4a41-9896-133f7cbe2a6e|460|4|16|7|4|1|8|10||5|18|128|9|27|13|14|1||68||5||1||4|5|40|33|4|1|11|5|18|00674f21-2f8f-4a41-9896-133f7cbe2a6e|240||5|1|4|1|2|4|4|1|8|66|5|21|7|6|2||48|||1|1|2|2|3|6|17|1|8|3|1|10
006cc1f9-2841-41c3-991a-dc3f2f3bd533|physiotherapist|0.021|0.02||C2264|Physiotherapists|C226|Other health professionals|C22|Health professionals|C2|Professionals|006cc1f9-2841-41c3-991a-dc3f2f3bd533|52307|1420|2323|59|327|30|251|32258||||25|1295|4664||82|6||1|1||3|163|3|120|1322|1847|113|401|4817|547||229|006cc1f9-2841-41c3-991a-dc3f2f3bd533|490|5|5|15|3|1|4|16|4|2|22|73|6|2|105|4|1|1|105||4||||4|2|36|23|29|1|2|3|12|006cc1f9-2841-41c3-991a-dc3f2f3bd533|464|3|3|11|2|1|5|15|1|1|23|81|4|1|103|6|1|1|95||4|1||1|5|2|30|24|24|2|3|4|7
00747307-6341-4266-a061-25416f7c6a96|performing arts theatre instructor||||C2310|University and higher education teachers|C231|University and higher education teachers|C23|Teaching professionals|C2|Professionals||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0085f271-5999-4d42-b879-75c3b4269883|hydrogenation machine operator|0.93|0.82||C8160|Food and related products machine operators|C816|Food and related products machine operators|C81|Stationary plant and machine operators|C8|Plant and machine operators and assemblers|0085f271-5999-4d42-b879-75c3b4269883|71416|996|135|107|50|2|1153|6116|2|1|||1574|16028||313|21|||||10|105|15|5619|328|2795|259|911|679|33||34164|0085f271-5999-4d42-b879-75c3b4269883|741|2|4|23|2||16|27|1|2|23|108|7|9|37|17|2|2|234||8||2|1|7|6|35|27|95|3|16|8|17|0085f271-5999-4d42-b879-75c3b4269883|344|2|1|9|||3|10||1|9|50|4|9|14|9|3|2|127||3||2||6|2|21|17|22|3|2|2|11
0090dd54-057a-4f65-bbe8-f74c4999e8e8|pasta operator|0.93|0.82||C8160|Food and related products machine operators|C816|Food and related products machine operators|C81|Stationary plant and machine operators|C8|Plant and machine operators and assemblers|0090dd54-057a-4f65-bbe8-f74c4999e8e8|71416|996|135|107|50|2|1153|6116|2|1|||1574|16028||313|21|||||10|105|15|5619|328|2795|259|911|679|33||34164|0090dd54-057a-4f65-bbe8-f74c4999e8e8|741|2|4|23|2||16|27|1|2|23|108|7|9|37|17|2|2|234||8||2|1|7|6|35|27|95|3|16|8|17|0090dd54-057a-4f65-bbe8-f74c4999e8e8|344|2|1|9|||3|10||1|9|50|4|9|14|9|3|2|127||3||2||6|2|21|17|22|3|2|2|11
00913533-5237-4870-9003-d1cb806603c9|tobacco shop manager|0.16|0.16||C1420|Retail and wholesale trade managers|C142|Retail and wholesale trade managers|C14|Hospitality, retail and other services managers|C1|Managers||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
009d29de-5872-43be-8d9b-abd27f8c99f1|rental service representative in other machinery, equipment and tangible goods|0.97|0.97||C5249|Sales workers not elsewhere classified|C524|Other sales workers|C52|Sales workers|C5|Service and sales workers||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
00ab29a3-6d4a-4df9-b46d-de31069e36e8|mine surveyor|0.88|0.63|1|C2165|Cartographers and surveyors|C216|Architects, planners, surveyors and designers|C21|Science and engineering professionals|C2|Professionals||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
00ab5610-e715-428f-99f6-b1e5e469dbcd|food safety specialist|0.17|0.11||C2263|Environmental and occupational health and hygiene professionals|C226|Other health professionals|C22|Health professionals|C2|Professionals|00ab5610-e715-428f-99f6-b1e5e469dbcd|4634|51|354|3|9||58|151|12||||68|2685||5|||7|||26|15||11|32|252|125|114|418|52|105|81|00ab5610-e715-428f-99f6-b1e5e469dbcd|524|2|14|3|2||2|24|1|1|11|196|2|32|12|12|3||70||3|||1|1|6|10|66|17|12|2|1|18|00ab5610-e715-428f-99f6-b1e5e469dbcd|112||2|1|1|1||3||1|3|46||10|4|3|||12||1||||1|1|3|8|7|1|||3
00c8d1cf-24f2-47d1-9f10-765e1c102811|land-based machinery technician|0.88|0.62||C7233|Agricultural and industrial machinery mechanics and repairers|C723|Machinery mechanics and repairers|C72|Metal, machinery and related trades workers|C7|Craft and related trades workers|00c8d1cf-24f2-47d1-9f10-765e1c102811|314228|10381|42475|127|2109|10|2974|178912|48|||6|2375|25374|3|1222|45||6|7|307|177|234|7|33133|1203|4156|410|4171|3373|909|65|9|00c8d1cf-24f2-47d1-9f10-765e1c102811|309|1|4|18|||4|14||2|10|72|2|8|24|7|3||57||2||1||2|2|42|6|17|3|1|1|6|00c8d1cf-24f2-47d1-9f10-765e1c102811|200||2|5|||4|15|||6|56|3|8|16|6|1||33||2|1|1||5||14|4|12|2|1|2|1
00cee175-1376-43fb-9f02-ba3d7a910a58|bus driver|0.89|0.61|1|C8331|Bus and tram drivers|C833|Heavy truck and bus drivers|C83|Drivers and mobile plant operators|C8|Plant and machine operators and assemblers|00cee175-1376-43fb-9f02-ba3d7a910a58|53936|1426|1925|714|41|2|1111|10785|13|108|97|36|619|13359|1|240|226|17|381||84|6|113|58|2741|386|4042|329|1917|649|210||12300|00cee175-1376-43fb-9f02-ba3d7a910a58|535||5|21|3|2|10|21|1|6|41|148|5|13|41|11|3|4|69||10||3|2|2|2|41|24|21|7|3|1|15|00cee175-1376-43fb-9f02-ba3d7a910a58|286||1|9|1||7|12|1|2|18|65|5|9|26|11|1|1|38||5||||1|3|26|15|14|2|3|1|9
00fdad73-4551-4e43-b256-1d4a3759db1e|import export manager in meat and meat products|0.59|0.59|0|C1324|Supply, distribution and related managers|C132|Manufacturing, mining, construction, and distribution managers|C13|Production and specialised services managers|C1|Managers||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
01205776-db8d-4588-a6a6-56d0b9c660a9|housing policy officer|0.23|0.23||C2422|Policy administration professionals|C242|Administration professionals|C24|Business and administration professionals|C2|Professionals||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
01484951-15e6-4b88-a20f-1201868d36a0|head chef|0.63|0.37|0|C3434|Chefs|C343|Artistic, cultural and culinary associate professionals|C34|Legal, social, cultural and related associate professionals|C3|Technicians and associate professionals||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0152b59d-5005-470c-9273-ef321477d8dc|nonwoven filament machine operator|0.9|0.85||C8131|Chemical products plant and machine operators|C813|Chemical and photographic products plant and machine operators|C81|Stationary plant and machine operators|C8|Plant and machine operators and assemblers|0152b59d-5005-470c-9273-ef321477d8dc|42324|167|8584|52|156||562|15935|12|44|||148|4795||97|||975||1|8|19|15|7378|115|868|34|375|690|63|155|1076|0152b59d-5005-470c-9273-ef321477d8dc|212||3|7||1||9|1||2|35|3|5|8|5|3|1|55||4||1|1|2||9|9|32||10|1|5|0152b59d-5005-470c-9273-ef321477d8dc|126|2||2|1|||3|3||1|20|3|5|5|3|4|1|40||4||||3||8|2|4|1|7||4
01649ae9-22ee-4dba-83a8-3a2c51fbbe95|head of higher education institutions|0.01|0.01||C1345|Education managers|C134|Professional services managers|C13|Production and specialised services managers|C1|Managers||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0181835d-dd00-49e2-9fc4-e1382a65957f|insulation supervisor|0.17|0.17||C3123|Construction supervisors|C312|Mining, manufacturing and construction supervisors|C31|Science and engineering associate professionals|C3|Technicians and associate professionals||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
01989dd8-36c0-43cc-a82d-2bfc409de9c4|dismantling engineer|0.07|0.03||C2149|Engineering professionals not elsewhere classified|C214|Engineering professionals (excluding electrotechnology)|C21|Science and engineering professionals|C2|Professionals|01989dd8-36c0-43cc-a82d-2bfc409de9c4|37904|856|857|15|139|2|1060|17092|164|||2|1757|13||354|34||2|3||50|44|5|46|317|1285|154|373|1779|137|1|11363|01989dd8-36c0-43cc-a82d-2bfc409de9c4|798|6|16|3|4|1|6|52|1|2|17|125|24|60|45|26|3||228||2||2|1|15|8|22|41|32|14|26|2|14|01989dd8-36c0-43cc-a82d-2bfc409de9c4|350|1|6|4|1|1|2|34|1|2|12|58|3|36|22|8|1||71||||1||10|4|11|20|24|2|7||8
01a83071-6533-4675-b2da-f0c6d02669f5|insurance claims handler|0.98|0.95|1|C3315|Valuers and loss assessors|C331|Financial and mathematical associate professionals|C33|Business and administration associate professionals|C3|Technicians and associate professionals|01a83071-6533-4675-b2da-f0c6d02669f5|18303|39|2186||1||10|355|||||96|||23|2||2|||2|18||402|28|74|3|8|357|9||14688|01a83071-6533-4675-b2da-f0c6d02669f5|43||1|||2|||||3|11|1||1||1||14||||||||2|4|2|1||||01a83071-6533-4675-b2da-f0c6d02669f5|29||1|1|1|2|||||2|5|1|1|2||||7||1|||||||2|1||1||1
01bcac9f-7881-4664-bd63-dea700e3b117|clothing development manager|0.018|0.02||C1223|Research and development managers|C122|Sales, marketing and development managers|C12|Administrative and commercial managers|C1|Managers||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
01da600c-ddb3-4a37-95e9-5301b459ae90|nitroglycerin separator operator|0.9|0.85||C8131|Chemical products plant and machine operators|C813|Chemical and photographic products plant and machine operators|C81|Stationary plant and machine operators|C8|Plant and machine operators and assemblers|01da600c-ddb3-4a37-95e9-5301b459ae90|42324|167|8584|52|156||562|15935|12|44|||148|4795||97|||975||1|8|19|15|7378|115|868|34|375|690|63|155|1076|01da600c-ddb3-4a37-95e9-5301b459ae90|212||3|7||1||9|1||2|35|3|5|8|5|3|1|55||4||1|1|2||9|9|32||10|1|5|01da600c-ddb3-4a37-95e9-5301b459ae90|126|2||2|1|||3|3||1|20|3|5|5|3|4|1|40||4||||3||8|2|4|1|7||4
01ffb917-98dc-48c1-91ad-93c4104e791d|biomedical engineer|0.07|0.03||C2149|Engineering professionals not elsewhere classified|C214|Engineering professionals (excluding electrotechnology)|C21|Science and engineering professionals|C2|Professionals||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
021663ca-a367-472e-a1f0-6d8ab5b2d860|legal guardian|0.25|0.04|0|C2635|Social work and counselling professionals|C263|Social and religious professionals|C26|Legal, social and cultural professionals|C2|Professionals||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
02375132-3290-4221-bf55-d93ec61a3bf3|weaver|0.52|0.52||C7318|Handicraft workers in textile, leather and related materials|C731|Handicraft workers|C73|Handicraft and printing workers|C7|Craft and related trades workers|02375132-3290-4221-bf55-d93ec61a3bf3|5734|8|1036|678|6||265|177||14|9||2|1906||52|||57||50||23||11|34|393|31|670|12|||300|02375132-3290-4221-bf55-d93ec61a3bf3|84|1|1|3|1|||1|||3|9|2|1|6|2||1|36|||||1|||3|4|4||3|1|1|02375132-3290-4221-bf55-d93ec61a3bf3|29|||1||||||||4||1|2|2|1||14||||||||1|1|||1||1
02447817-ea01-4d8b-b09c-8bc128e447e6|tile fitter|0.87|0.82||C7122|Floor layers and tile setters|C712|Building finishers and related trades workers|C71|Building and related trades workers, excluding electricians|C7|Craft and related trades workers|02447817-ea01-4d8b-b09c-8bc128e447e6|81089|5071|3344|87|3045||560|36103|95|50|17|23|1630|16726|1|758|90|2|75|4|29|173|48|64|4998|414|4195|426|1296|616|674|198|277|02447817-ea01-4d8b-b09c-8bc128e447e6|133||1|5|1||3|8|||3|6|1|1|11|5|2||39||2||||||13|3|21|1|2||5|02447817-ea01-4d8b-b09c-8bc128e447e6|111|||4|2||3|8|1||4|5||3|5|3|3||40||||1|2|2||7|2|12||3||1
0249b723-1d20-4ff9-8623-d20b98d0b4a4|shoe and leather accessoires shop manager|0.16|0.16||C1420|Retail and wholesale trade managers|C142|Retail and wholesale trade managers|C14|Hospitality, retail and other services managers|C1|Managers||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
02609ece-cea3-43fa-bf38-b6fb821f28b2|tour operators manager|0.57|0.30|1|C3339|Business services agents not elsewhere classified|C333|Business services agents|C33|Business and administration associate professionals|C3|Technicians and associate professionals|02609ece-cea3-43fa-bf38-b6fb821f28b2|78690|12|101|101|14|61|5155|4437|248|133|32|21|609|3542|1|642|26||17||172|1|183|1|1312|42|733|87|2285|3883|61|1|54777|02609ece-cea3-43fa-bf38-b6fb821f28b2|1533|24|56|42|9|9|28|123|9|7|54|269|67|94|57|55|15|1|213||33|1|10|4|53|16|38|45|94|26|17|6|58|02609ece-cea3-43fa-bf38-b6fb821f28b2|660|14|23|12|5|1|14|54|4||20|104|14|46|29|22|9|1|95||15|2|4|4|24|1|16|22|61|13|7|3|21
026401a9-7d56-4d7b-8052-38985ddbeafa|bee breeder|0.95|0.76||C6123|Apiarists and sericulturists|C612|Animal producers|C61|Market-oriented skilled agricultural workers|C6|Skilled agricultural, forestry and fishery workers|026401a9-7d56-4d7b-8052-38985ddbeafa|675|3|3|10||3|8|20|||||1|209||2|||14||1|1|7|1|||20|10|14|2|||346|026401a9-7d56-4d7b-8052-38985ddbeafa|24|||2|||||||2|1|||2|1|||4||||1||||1||8||2|||026401a9-7d56-4d7b-8052-38985ddbeafa|12|||||||||||1||1||1|||4||||||||1||4||||
0264b794-3771-47aa-a675-78bf13b62ee7|legal administrative assistant|0.98|0.98||C3342|Legal secretaries|C334|Administrative and specialised secretaries|C33|Business and administration associate professionals|C3|Technicians and associate professionals|0264b794-3771-47aa-a675-78bf13b62ee7|95583|990|27662||13||183|31649|3|||4|46|4||34||||||12||1|198|45|89|68|4|65|||34513|0264b794-3771-47aa-a675-78bf13b62ee7|297|3|9|6|2|1|2|11|3|1|17|22|5|8|11|7|4||107||1|3|||8||11|10|21|4|2|1|17|0264b794-3771-47aa-a675-78bf13b62ee7|123|2|3|3|1|1|2|5|||5|16|4|3|3|3|1||43||1|1||1|6|1|2|5|6|1|1||3
026a5233-cad9-4b1d-8852-22c2685ab34e|petroleum pump system operator|0.91|0.83||C3134|Petroleum and natural gas refining plant operators|C313|Process control technicians|C31|Science and engineering associate professionals|C3|Technicians and associate professionals|026a5233-cad9-4b1d-8852-22c2685ab34e|115||||||2|||1|||25||||||||||5|||41|3||35||3|||026a5233-cad9-4b1d-8852-22c2685ab34e|93|||1||3||2|3||5|17|1|2|13||||18||2||||1|2|3|4|8||1||7|026a5233-cad9-4b1d-8852-22c2685ab34e|18|||||||3|||1|2|||3|1|||2|||||1||1|||4||||
029a5b78-4d1c-4cf9-a2d2-bb8d8729b8a3|protective clothing apparel manufacturer|0.89|0.89|1|C8153|Sewing machine operators|C815|Textile, fur and leather products machine operators|C81|Stationary plant and machine operators|C8|Plant and machine operators and assemblers||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
02b5b7b0-b856-4ac7-924c-8c35c7880b2a|coating machine operator|0.92|0.88||C8122|Metal finishing, plating and coating machine operators|C812|Metal processing and finishing plant operators|C81|Stationary plant and machine operators|C8|Plant and machine operators and assemblers|02b5b7b0-b856-4ac7-924c-8c35c7880b2a|22894|219|1770|7|102|1|526|8488|||||152|9877||373||||||22|41|11|158|4|256|150|173|184|51||329|02b5b7b0-b856-4ac7-924c-8c35c7880b2a|19||||||2|2||||2|3||2|1|||1||||||||2||2||2|||02b5b7b0-b856-4ac7-924c-8c35c7880b2a|13|1|||1|1||||||3|1||2|1|||||||||||1|1|||1||
02bd7cac-8263-4425-b03d-19001ffe8787|aquaculture hatchery manager|0.95|0.76||C6221|Aquaculture workers|C622|Fishery workers, hunters and trappers|C62|Market-oriented skilled forestry, fishery and hunting workers|C6|Skilled agricultural, forestry and fishery workers|02bd7cac-8263-4425-b03d-19001ffe8787|1677|4|5|27|1||6|83||6|1||22|1127||51|7|1|||||5|5|1|272|21|3|10|16|3|||02bd7cac-8263-4425-b03d-19001ffe8787|116||1|2|2|1||2|1||5|37|1|1|13||2|1|15||1||1|||2|5|8|13||1||1|02bd7cac-8263-4425-b03d-19001ffe8787|29|||||1|||||2|11||1|1|1|||3||1|||||2|1|4|1||||
02d4f153-8e43-444d-8bd4-8171d49eab12|gear machinist|0.98|0.87|1|C7223|Metal working machine tool setters and operators|C722|Blacksmiths, toolmakers and related trades workers|C72|Metal, machinery and related trades workers|C7|Craft and related trades workers|02d4f153-8e43-444d-8bd4-8171d49eab12|395545|11435|20666|1841|2628|5|11660|175837|314|337|67|7|2813|88142|9|1593|41||2440|43|99|319|334|47|29194|318|14851|1381|3101|6250|1605|659|17509|02d4f153-8e43-444d-8bd4-8171d49eab12|815|9|6|38|2|1|26|54|1|5|23|91|3|10|124|41|3|1|116||6||7|1|8|4|85|21|78|6|21|4|20|02d4f153-8e43-444d-8bd4-8171d49eab12|639|2|3|37|2||28|33|1|8|11|66|6|12|82|31|3|1|100||1||5|3|5|5|64|22|68|7|17|4|12
02e19186-458f-40eb-9e78-31c656d12ac7|rooms division manager|0.0039|0.00||C1411|Hotel managers|C141|Hotel and restaurant managers|C14|Hospitality, retail and other services managers|C1|Managers|02e19186-458f-40eb-9e78-31c656d12ac7|33420|359|13395|3|12|5|120|676|||5|2|29|15321||23|43|||||17|5|22|107|118|141|22|84|138|17||2756|02e19186-458f-40eb-9e78-31c656d12ac7|402|3|9|19|3|2|6|13|2|3|10|69|6|27|41|8|4||78||3||2|1|5|1|12|23|22|5|8|3|14|02e19186-458f-40eb-9e78-31c656d12ac7|162||4|10||5|4|6|||7|22||16|14|1|2||21||1|1|1||2||3|15|9|4|2|2|10
02e94cd6-8e6d-4e9b-b695-edb460c70528|ceramic painter|0.98|0.95||C7316|Sign writers, decorative painters, engravers and etchers|C731|Handicraft workers|C73|Handicraft and printing workers|C7|Craft and related trades workers||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
02eb0ae6-ecdd-4602-9c8e-60ffe6dbe1e2|telecommunications engineer|0.025|0.03||C2153|Telecommunications engineers|C215|Electrotechnology engineers|C21|Science and engineering professionals|C2|Professionals|02eb0ae6-ecdd-4602-9c8e-60ffe6dbe1e2|7003|100|2|2|8||59|144|1|1|2|6|988|3184||5|2||1|||17|1||1015|25|154|30|255|564|18||419|02eb0ae6-ecdd-4602-9c8e-60ffe6dbe1e2|651|3|9|9|4|2|2|40|2|5|33|176|21|23|32|9|3|1|132||7||1|1|3|7|15|43|25|19|6|2|16|02eb0ae6-ecdd-4602-9c8e-60ffe6dbe1e2|430|6|4|11|5|1|1|21|1||15|105|11|19|19|3|4||82||4||||6|6|6|44|23|8|1|2|22
02f1ae71-f89c-47b7-af2c-50d7ab1d9b8a|adult literacy teacher|0.016|0.01||C2352|Special needs teachers|C235|Other teaching professionals|C23|Teaching professionals|C2|Professionals||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
02f26b2f-879c-4811-8381-65e8dd3f4a16|footwear quality manager|0.03|0.03||C1321|Manufacturing managers|C132|Manufacturing, mining, construction, and distribution managers|C13|Production and specialised services managers|C1|Managers||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
02ff199e-38b3-45fd-b659-68846cfeeb92|sprinkler fitter|0.62|0.49|0|C7126|Plumbers and pipe fitters|C712|Building finishers and related trades workers|C71|Building and related trades workers, excluding electricians|C7|Craft and related trades workers|02ff199e-38b3-45fd-b659-68846cfeeb92|379016|16059|23155|193|7552|2|3117|176914|197|254|107|26|4372|70624|8|947|501|8|548|34|166|432|167|130|47314|2030|10694|626|3160|3355|931|1|5392|02ff199e-38b3-45fd-b659-68846cfeeb92|523|1|4|24|2||3|33|4|2|26|94|7|22|46|11|4||112||3||1||2|4|28|10|49|8|13|1|9|02ff199e-38b3-45fd-b659-68846cfeeb92|448|1|5|12|1|1|3|23|1|4|29|80|9|14|35|6|4||103||2||1||3|5|25|11|46|7|9|1|7
032d4115-03ec-49c9-853d-678f8a41969b|electronic and telecommunications equipment and parts distribution manager|0.59|0.59|0|C1324|Supply, distribution and related managers|C132|Manufacturing, mining, construction, and distribution managers|C13|Production and specialised services managers|C1|Managers||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
034cad59-e666-4770-a7ef-a337257f8072|special educational needs teacher secondary school|0.016|0.01||C2352|Special needs teachers|C235|Other teaching professionals|C23|Teaching professionals|C2|Professionals||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
03632d98-0ae3-4dd2-941c-3b48de9a0219|performance production manager|0.25|0.17||C1431|Sports, recreation and cultural centre managers|C143|Other services managers|C14|Hospitality, retail and other services managers|C1|Managers||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0368c4d4-94cf-4168-a84d-283a25880e0d|metal production manager|0.03|0.03||C1321|Manufacturing managers|C132|Manufacturing, mining, construction, and distribution managers|C13|Production and specialised services managers|C1|Managers||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
036dc42f-bd4d-4533-a3cc-fcd313227ce3|aircraft engine assembler|0.82|0.81||C8211|Mechanical machinery assemblers|C821|Assemblers|C82|Assemblers|C8|Plant and machine operators and assemblers||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
