index	fx	fy	esco_oc_key	preflabel_en	ox_max_prob	ox_avg_prob	ox_label	isco_oc_key_l4	isco_preflabel_l4	isco_oc_key_l3	isco_preflabel_l3	isco_oc_key_l2	isco_preflabel_l2	isco_oc_key_l1	isco_preflabel_l1	oc_key_jv	all_jv	at_jv	be_jv	bg_jv	ch_jv	cy_jv	cz_jv	de_jv	dk_jv	ee_jv	el_jv	es_jv	fi_jv	fr_jv	hr_jv	hu_jv	ie_jv	is_jv	it_jv	li_jv	lt_jv	lu_jv	lv_jv	mt_jv	nl_jv	no_jv	pl_jv	pt_jv	ro_jv	se_jv	si_jv	sk_jv	uk_jv	oc_key_cvdes	all_cvdes	at_cvdes	be_cvdes	bg_cvdes	ch_cvdes	cy_cvdes	cz_cvdes	de_cvdes	dk_cvdes	ee_cvdes	el_cvdes	es_cvdes	fi_cvdes	fr_cvdes	hr_cvdes	hu_cvdes	ie_cvdes	is_cvdes	it_cvdes	li_cvdes	lt_cvdes	lu_cvdes	lv_cvdes	mt_cvdes	nl_cvdes	no_cvdes	pl_cvdes	pt_cvdes	ro_cvdes	se_cvdes	si_cvdes	sk_cvdes	uk_cvdes	oc_key_cvlast	all_cvlast	at_cvlast	be_cvlast	bg_cvlast	ch_cvlast	cy_cvlast	cz_cvlast	de_cvlast	dk_cvlast	ee_cvlast	el_cvlast	es_cvlast	fi_cvlast	fr_cvlast	hr_cvlast	hu_cvlast	ie_cvlast	is_cvlast	it_cvlast	li_cvlast	lt_cvlast	lu_cvlast	lv_cvlast	mt_cvlast	nl_cvlast	no_cvlast	pl_cvlast	pt_cvlast	ro_cvlast	se_cvlast	si_cvlast	sk_cvlast	uk_cvlast
878	1.79422167077	2.37319875855	4a13bafa-a2ac-4864-a278-176ea5969280	technical sales representative in hardware, plumbing and heating equipment	0.25	0.16		C2433	Technical and medical sales professionals (excluding ICT)	C243	Sales, marketing and public relations professionals	C24	Business and administration professionals	C2	Professionals																																																																																																						
879	1.18829461744	2.69069146463	4a1d28b0-eca5-4c0a-a49d-ce974e7d04ce	surface grinding machine operator	0.92	0.88		C8122	Metal finishing, plating and coating machine operators	C812	Metal processing and finishing plant operators	C81	Stationary plant and machine operators	C8	Plant and machine operators and assemblers	4a1d28b0-eca5-4c0a-a49d-ce974e7d04ce	22894.0	219.0	1770.0	7.0	102.0	1.0	526.0	8488.0					152.0	9877.0		373.0						22.0	41.0	11.0	158.0	4.0	256.0	150.0	173.0	184.0	51.0		329.0	4a1d28b0-eca5-4c0a-a49d-ce974e7d04ce	19.0						2.0	2.0				2.0	3.0		2.0	1.0			1.0								2.0		2.0		2.0			4a1d28b0-eca5-4c0a-a49d-ce974e7d04ce	13.0	1.0			1.0	1.0						3.0	1.0		2.0	1.0											1.0	1.0			1.0		
880	1.46270820456	2.25436931722	4a215d87-8363-4db2-a661-3c0d816b2a70	surface miner	0.96	0.7		C8111	Miners and quarriers	C811	Mining and mineral processing plant operators	C81	Stationary plant and machine operators	C8	Plant and machine operators and assemblers	4a215d87-8363-4db2-a661-3c0d816b2a70	2774.0	1.0	26.0	14.0	3.0		175.0	116.0					96.0	241.0		5.0								2.0		21.0	1126.0	28.0	393.0	54.0	5.0	360.0	108.0	4a215d87-8363-4db2-a661-3c0d816b2a70	100.0			4.0			2.0	3.0	1.0	1.0	1.0	16.0	4.0	3.0	10.0	2.0	1.0		13.0				1.0	1.0	2.0	1.0	18.0	6.0	6.0	1.0	2.0	1.0		4a215d87-8363-4db2-a661-3c0d816b2a70	37.0						1.0	1.0				5.0	2.0		4.0				4.0						1.0		12.0	3.0	3.0			1.0	
881	1.00348944166	2.56390537394	4a246568-007e-46a8-a151-b98082ed6b50	sole and heel operator	0.97	0.97		C8156	Shoemaking and related machine operators	C815	Textile, fur and leather products machine operators	C81	Stationary plant and machine operators	C8	Plant and machine operators and assemblers																																																																																																						
882	2.00292184269	2.57625890136	4a29eab1-5f02-4723-a863-e2d5a0614dfa	healthcare institution manager	0.0073	0.01		C1342	Health services managers	C134	Professional services managers	C13	Production and specialised services managers	C1	Managers	4a29eab1-5f02-4723-a863-e2d5a0614dfa	108256.0	7.0	2957.0	7.0	268.0		123.0	16600.0					104.0			13.0			1.0			1.0	13.0		132.0	2293.0	27.0	3.0	115.0	3547.0	137.0		81908.0	4a29eab1-5f02-4723-a863-e2d5a0614dfa	45.0	2.0	4.0	2.0		1.0		2.0	2.0		7.0	3.0	1.0	1.0	3.0	1.0			9.0		1.0	1.0		2.0	1.0			2.0						4a29eab1-5f02-4723-a863-e2d5a0614dfa	15.0		2.0						1.0		1.0	1.0		1.0	1.0		1.0		1.0						1.0				3.0		1.0		1.0
883	1.19403291776	2.42257612746	4a30b421-2fda-42d6-b7e1-1c31753f061d	insulating tube winder	0.98	0.91		C8142	Plastic products machine operators	C814	Rubber, plastic and paper products machine operators	C81	Stationary plant and machine operators	C8	Plant and machine operators and assemblers	4a30b421-2fda-42d6-b7e1-1c31753f061d	35906.0	1256.0	32.0	108.0	152.0		1355.0	19543.0	6.0			1.0	384.0	6406.0		423.0	5.0			1.0		42.0	12.0	44.0	8.0	57.0	4349.0	302.0	882.0	388.0	147.0		3.0	4a30b421-2fda-42d6-b7e1-1c31753f061d	151.0	2.0		3.0			3.0	4.0				18.0	1.0	2.0	14.0	6.0	1.0		19.0						4.0	1.0	35.0	15.0	15.0	1.0	4.0		3.0	4a30b421-2fda-42d6-b7e1-1c31753f061d	108.0	1.0	1.0	2.0	1.0		1.0	5.0				14.0	2.0	3.0	11.0	5.0		1.0	13.0		2.0		1.0			3.0	16.0	9.0	9.0	2.0	4.0		2.0
884	1.50259600995	2.66975102885	4a375b68-88a0-4e5f-99ce-9b01341dfb81	materials engineer	0.07	0.03		C2149	Engineering professionals not elsewhere classified	C214	Engineering professionals (excluding electrotechnology)	C21	Science and engineering professionals	C2	Professionals	4a375b68-88a0-4e5f-99ce-9b01341dfb81	37904.0	856.0	857.0	15.0	139.0	2.0	1060.0	17092.0	164.0			2.0	1757.0	13.0		354.0	34.0		2.0	3.0		50.0	44.0	5.0	46.0	317.0	1285.0	154.0	373.0	1779.0	137.0	1.0	11363.0	4a375b68-88a0-4e5f-99ce-9b01341dfb81	798.0	6.0	16.0	3.0	4.0	1.0	6.0	52.0	1.0	2.0	17.0	125.0	24.0	60.0	45.0	26.0	3.0		228.0		2.0		2.0	1.0	15.0	8.0	22.0	41.0	32.0	14.0	26.0	2.0	14.0	4a375b68-88a0-4e5f-99ce-9b01341dfb81	350.0	1.0	6.0	4.0	1.0	1.0	2.0	34.0	1.0	2.0	12.0	58.0	3.0	36.0	22.0	8.0	1.0		71.0				1.0		10.0	4.0	11.0	20.0	24.0	2.0	7.0		8.0
885	1.84628605962	2.76807334568	4a39fddb-17e7-4431-be03-613edab8d1c8	tax compliance officer	0.93	0.93	1.0	C3352	Government tax and excise officials	C335	Regulatory government associate professionals	C33	Business and administration associate professionals	C3	Technicians and associate professionals	4a39fddb-17e7-4431-be03-613edab8d1c8	4015.0		15.0	7.0	2.0		37.0	1137.0	10.0				126.0	256.0		3.0					5.0		11.0		643.0	11.0	45.0		7.0	458.0	9.0	1.0	1232.0	4a39fddb-17e7-4431-be03-613edab8d1c8	110.0	2.0	3.0	3.0	3.0	2.0	4.0	7.0			5.0	19.0		1.0	5.0	2.0	1.0		26.0		1.0		3.0		4.0	1.0	5.0	10.0	1.0				2.0	4a39fddb-17e7-4431-be03-613edab8d1c8	87.0		1.0	4.0			2.0	3.0			3.0	10.0			9.0	1.0			30.0		1.0	1.0	1.0		3.0		10.0	4.0	3.0	1.0			
886	2.19473624394	2.93946577092	4a3f40a8-0587-494c-b8d3-7098b8c5992f	army corporal				C0310	Armed forces occupations, other ranks	C031	Armed forces occupations, other ranks	C03	Armed forces occupations, other ranks	C0	Armed forces occupations	4a3f40a8-0587-494c-b8d3-7098b8c5992f	792.0		281.0				25.0	13.0					6.0			82.0										2.0	1.0	64.0		281.0	37.0			4a3f40a8-0587-494c-b8d3-7098b8c5992f	11.0											1.0			1.0				6.0										3.0					4a3f40a8-0587-494c-b8d3-7098b8c5992f	70.0			4.0				3.0			5.0	11.0	1.0	1.0	5.0	1.0	1.0		19.0				1.0				3.0	4.0	6.0				5.0
887	2.06972904029	2.52825357284	4a5b3686-eea4-4ba0-b446-33f7b6a95aed	anatomical pathology technician	0.9	0.69		C3212	Medical and pathology laboratory technicians	C321	Medical and pharmaceutical technicians	C32	Health associate professionals	C3	Technicians and associate professionals																																																																																																						
